21,3580700117,1985725117,1553800465
6,3533191706,1240338391,0231023562
18,0744635826,2072263333,1525547901
23,2789534590,0425142349,2954138578
9,3128331356,2419005557,3260178848
18,1142078003,2157300172,0204067729
8,3784014446,2399763188,2938811757
21,3248482197,1932938682,3205237694
17,3720666209,0738897375,3218571189
16,4095984849,3908691638,0447036478
11,1016526879,1476152518,0983254914
8,3581464826,1328377775,4148972933
10,0502188119,0406566233,3842851055
15,2756678467,1142668232,1379016663
20,1439545936,2075183691,3413236374
12,3107998481,1477816185,0315235125
12,3458855143,0300048241,2529895124
14,0856888888,1342008902,2933709621
5,2403518194,0412233245,3229671905
4,2881135863,2887305234,2116001451
8,2210789514,4087232626,2569739574
3,2112919582,0940557660,2217878179
17,3080280008,2814957005,1319359448
7,3445217966,0427950967,0865021925
24,0311612343,1363469543,4236142775
15,1653691979,2739691093,3140007906
14,1062232216,3232274494,0207106990
8,4182963488,0240760513,2042304469
13,2428662553,0647275007,3487736446
3,3146870787,0649477835,2540649273
